ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-2898621,2,2019-11-01 09:20:00,2019-11-01 10:32:20,43.66908,-93.32351,43.663759999999996,-93.32143,0.382,At CR-46/Exit 11 - Accident.,nan,I-35 S,R,Albert Lea,Freeborn,MN,56007,US,US/Central,KAEL,2019-11-01 09:16:00,32.0,32.0,93.0,28.7,10.0,WSW,3.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898622,4,2020-11-11 07:19:00,2020-11-11 08:59:11,38.291345,-77.506879,38.292238,-77.506555,0.064,On I-95 at mile marker 130 in the City of Fredericksburg motorists can expect delays due to a vehicle crash. All North lanes are closed. Traffic backups are approximately 2.0 miles.,nan,I-95 N,R,Fredericksburg,Fredericksburg,VA,22401,US,US/Eastern,KEZF,2020-11-11 07:15:00,69.0,69.0,100.0,29.95,10.0,S,7.0,0.02,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898623,3,2017-08-17 09:10:23,2017-08-17 09:38:33,44.974964,-93.287621,nan,nan,0.629999995232,Accident on I-394 Eastbound between Exit 8A Dunwoody Blvd and Exit 8B I-94.,nan,I-394 E,R,Minneapolis,Hennepin,MN,55403,US,US/Central,KMSP,2017-08-17 09:03:00,68.0,nan,90.0,29.56,10.0,NNW,10.4,nan,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898624,2,2018-09-28 11:16:47,2018-09-28 11:46:30,37.945809999999994,-122.05813,37.944148,-122.05886799999999,0.122,At Monument Blvd - Accident. Lane blocked.,nan,I-680 S,R,Pleasant Hill,Contra Costa,CA,94523,US,US/Pacific,KCCR,2018-09-28 10:53:00,64.9,nan,63.0,29.84,10.0,SSW,13.8,nan,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898625,2,2019-02-27 08:09:23,2019-02-27 09:08:39,34.971725,-81.93762199999999,34.971725,-81.93762199999999,0.0,Accident on SC-9 Boiling Springs Rd near US-221.,nan,I-585 N,R,Spartanburg,Spartanburg,SC,29303,US,US/Eastern,KSPA,2019-02-27 08:15:00,51.8,nan,76.0,30.22,10.0,Calm,nan,nan,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898626,2,2020-11-15 02:20:12,2020-11-15 04:20:40,43.608931,-96.42875,43.609010999999995,-96.43576,0.35100000000000003,Incident on I-90 WB near MN 23 Drive with caution.,nan,I-90 W,R,Beaver Creek,Rock,MN,56116,US,US/Central,KLYV,2020-11-15 02:15:00,34.0,22.0,75.0,28.13,10.0,NW,21.0,0.0,Fair / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2898627,2,2018-06-16 16:32:01,2018-06-16 17:16:49,39.585423,-75.684608,39.585423,-75.684608,0.0,Accident on DE-72 Wrangle Hill Rd at DE-71 Red Lion Rd.,nan,Wrangle Hill Rd,R,Bear,New Castle,DE,19701,US,US/Eastern,KILG,2018-06-16 16:51:00,82.0,nan,39.0,30.0,10.0,SW,9.2,nan,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-2898628,2,2020-02-03 08:10:24,2020-02-03 09:28:36,41.736359,-87.622589,41.736359,-87.622589,0.0,Accident on 87th St at Wabash Ave.,41.0,E 87th St,R,Chicago,Cook,IL,60619-6635,US,US/Central,KMDW,2020-02-03 07:53:00,37.0,30.0,82.0,29.13,10.0,ENE,9.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898629,2,2019-12-31 18:40:53,2019-12-31 19:09:02,36.075321,-79.822388,36.075321,-79.822388,0.0,Accident on Chapman St at Madison Ave.,1995.0,Madison Ave,L,Greensboro,Guilford,NC,27403-1509,US,US/Eastern,KGSO,2019-12-31 18:54:00,46.0,42.0,51.0,28.81,10.0,W,8.0,0.0,Fair,False,False,True,False,False,False,False,False,False,True,False,False,False,Night,Night,Night,Day
A-2898630,2,2020-05-28 11:15:50,2020-05-28 11:30:50,37.825790000000005,-121.99526999999999,37.82783,-121.99784,0.19899999999999998,At El Cerro Blvd - Accident. on the right.,nan,I-680 N,R,Danville,Contra Costa,CA,94526,US,US/Pacific,KCCR,2020-05-28 10:53:00,74.0,74.0,53.0,29.82,10.0,NW,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898631,2,2017-06-27 17:59:32,2017-06-27 23:59:32,32.843759999999996,-117.2141,32.842014,-117.217822,0.247,At CA-52 - Accident.,nan,CA-52 W,R,San Diego,San Diego,CA,92117,US,US/Pacific,KMYF,2017-06-27 17:53:00,80.1,nan,43.0,29.84,10.0,WNW,6.9,nan,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898632,3,2018-09-13 06:14:26,2018-09-13 06:44:06,32.781517,-96.771011,32.781517,-96.771011,0.0,Accident on I-30 Westbound at 2nd Ave.,nan,I-30 W,R,Dallas,Dallas,TX,75226,US,US/Central,KDAL,2018-09-13 05:53:00,73.0,nan,90.0,30.01,9.0,East,4.6,nan,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-2898633,2,2017-08-24 08:22:30,2017-08-24 14:22:30,26.09479,-80.2333,26.09202,-80.22182,0.738,At SR-84/Davie Rd/Exit 7 - Accident.,nan,I-595 E,R,Fort Lauderdale,Broward,FL,33317,US,US/Eastern,KFLL,2017-08-24 08:16:00,75.9,nan,97.0,29.88,0.8,SE,17.3,0.42,Heavy Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898634,3,2017-12-16 07:38:30,2017-12-16 13:38:30,42.81562,-83.56992,42.779379999999996,-83.5323,3.148,At Holly Rd/Exit 98 - Accident.,nan,Chrysler Expy S,R,Holly,Oakland,MI,48442,US,US/Eastern,KPTK,2017-12-16 07:53:00,25.0,19.3,96.0,29.94,4.0,NE,4.6,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-2898635,2,2020-02-18 18:10:00,2020-02-18 19:22:44,37.701409999999996,-121.76983,37.7014,-121.76988999999999,0.003,At CA-84/1st St/Springtown Blvd - Accident.,nan,I-580 E,R,Livermore,Alameda,CA,94551,US,US/Pacific,KLVK,2020-02-18 17:53:00,58.0,58.0,32.0,29.56,10.0,ENE,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-2898636,2,2018-02-28 17:13:20,2018-02-28 17:55:36,33.239876,-87.593056,33.239876,-87.593056,0.0,Queueing traffic due to accident on US-82 McFarland Blvd Eastbound near US-43 Main Ave.,nan,Highway 43 N,R,Northport,Tuscaloosa,AL,35473,US,US/Central,KTCL,2018-02-28 16:53:00,75.9,nan,69.0,29.86,10.0,South,4.6,nan,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-2898637,3,2019-12-19 13:00:26,2019-12-19 13:30:07,34.004787,-118.173027,nan,nan,0.0,#1 lane blocked due to accident on I-710 Southbound at Exits 17B 17C Washington Blvd.,4678.0,E Washington Blvd,R,Commerce,Los Angeles,CA,90040-1026,US,US/Pacific,KCQT,2019-12-19 12:52:00,66.0,66.0,20.0,29.88,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898638,2,2020-01-03 11:23:00,2020-01-03 12:14:28,34.072742,-118.053626,34.072742,-118.053626,0.0,At Baldwin Ave/Exit 27 - Accident.,3485.0, Baldwin Ave,L,El Monte,Los Angeles,CA,91731-2220,US,US/Pacific,KEMT,2020-01-03 10:53:00,66.0,66.0,54.0,30.13,9.0,CALM,0.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898639,2,2020-06-12 08:01:06,2020-06-12 08:51:04,41.31378,-76.65352,41.31378,-76.65352,0.0,At PA-864/Laurel Run Rd/Elm St - Accident traffic being directed around accident area.,12013.0, Route 220 Hwy,L,Hughesville,Lycoming,PA,17737-8945,US,US/Eastern,KIPT,2020-06-12 07:54:00,61.0,61.0,83.0,29.58,10.0,VAR,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898640,2,2020-06-25 11:43:19,2020-06-25 12:28:55,35.240452000000005,-80.919487,35.240452000000005,-80.919487,0.0,Accident on Queen City Dr at Mulberry Church Rd.,3297.0,Mulberry Church Rd,L,Charlotte,Mecklenburg,NC,28208-3501,US,US/Eastern,KCLT,2020-06-25 11:52:00,78.0,78.0,71.0,29.26,10.0,VAR,3.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-2898641,2,2020-12-02 23:21:30.000000000,2020-12-03 00:53:33.000000000,39.080646,-94.680384,39.099540999999995,-94.679757,1.306,Stationary traffic on I-635 N from Metropolitan Ave/Exit 2 (I-635) to I-70/Exit 4 (I-635) due to accident.,nan,I-635 N,R,Kansas City,Wyandotte,KS,66106,US,US/Central,KNKA,2020-12-02 22:54:00,39.0,39.0,50.0,29.46,10.0,ENE,3.0,0.0,Fair,False,False,False,False,False,False,True,False,False,False,False,False,False,Night,Night,Night,Night
A-2898642,2,2020-10-09 15:31:04,2020-10-09 17:39:49,43.124438,-75.577279,43.123858,-75.58212900000001,0.248,Crash on I-90 - NYS Thruway westbound at Before Exit 33 (I-90) - Verona (Rte 365) starting 8:31 AM 10/09/2020 [CARS CAD-202830072],nan,I-90 W,R,Verona,Oneida,NY,13478,US,US/Eastern,KRME,2020-10-09 15:53:00,62.0,62.0,50.0,29.53,10.0,W,6.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898643,4,2016-06-11 17:02:33,2016-06-11 23:02:33,41.839445,-83.482478,41.853790000000004,-83.47121,1.148,Closed at Stein Rd - Road closed due to accident.,12206.0, S Telegraph Rd,R,La Salle,Monroe,MI,48145-9801,US,US/Eastern,KTTF,2016-06-11 16:56:00,94.5,nan,36.0,29.86,10.0,West,19.6,nan,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898644,2,2020-11-30 21:38:00,2020-11-30 23:48:08,38.661052000000005,-121.360221,38.660474,-121.360871,0.053,WB 80 JEO MADISON. SAC SO 1097 ROLLING FIRE FOR AIR BAG DEPLOYMENT,nan,I-80 W,R,Sacramento,Sacramento,CA,95841,US,US/Pacific,KMCC,2020-11-30 21:45:00,43.0,43.0,87.0,30.13,10.0,CALM,0.0,nan,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2898645,2,2017-10-16 17:01:54,2017-10-16 23:01:54,34.26618,-118.4811,34.26592,-118.47606999999999,0.28800000000000003,At I-405 - Accident. in the left lane.,nan,CA-118 E,R,Granada Hills,Los Angeles,CA,91344,US,US/Pacific,KVNY,2017-10-16 16:51:00,93.9,nan,7.0,29.95,10.0,West,8.1,nan,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898646,2,2020-01-23 17:26:00,2020-01-23 18:30:00,40.713190000000004,-111.81901,40.713190000000004,-111.81901,0.0,At I-215/Exit 128 - Accident. Right lane closed.,nan,I-80 W,R,Salt Lake City,Salt Lake,UT,84109,US,US/Mountain,KSLC,2020-01-23 17:54:00,43.0,39.0,80.0,25.88,10.0,N,6.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898647,3,2020-09-23 14:14:51,2020-09-23 15:14:44,39.712692,-105.000298,39.712692,-105.000298,0.0,Two lanes blocked due to accident on I-25 Northbound at Exit 208 CO-26 Alameda Ave.,nan,I-25 S,R,Denver,Denver,CO,80223,US,US/Mountain,KAPA,2020-09-23 13:53:00,81.0,81.0,14.0,24.3,10.0,ESE,9.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898648,3,2018-04-04 09:44:24,2018-04-04 15:44:24,32.74732,-96.74631,32.74732,-96.74967,0.195,At Railroad Ave - Accident. Left lane blocked. Center lane blocked.,nan,Hawn Fwy W,R,Dallas,Dallas,TX,75215,US,US/Central,KDAL,2018-04-04 09:53:00,50.0,nan,35.0,30.38,10.0,North,13.8,nan,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898649,2,2019-10-28 23:29:08,2019-10-29 03:29:08,43.2127,-123.35491999999999,43.21083,-123.35531999999999,0.131,At OR-138/Exit 124 - Accident.,nan,I-5 N,R,Roseburg,Douglas,OR,97470,US,US/Pacific,KRBG,2019-10-28 23:53:00,37.0,37.0,70.0,29.58,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2898650,2,2020-05-12 19:01:00,2020-05-12 19:33:17,34.07022,-117.96203999999999,34.07011,-117.96292,0.051,At Puente Ave/Exit 33 - Accident. Obstruction on roadway {something that does block the road or part of it}.,nan,I-10 W,R,Baldwin Park,Los Angeles,CA,91706,US,US/Pacific,KEMT,2020-05-12 18:53:00,69.0,69.0,65.0,29.85,10.0,SSW,8.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898651,2,2020-12-28 20:27:51,2020-12-28 23:31:35,34.181314,-82.114652,34.185543,-82.10475100000001,0.637,Incident on SILOAM CHURCH RD near MCKELLAR DR Expect delays.,1701.0, Sweetwater Rd,L,Greenwood,Greenwood,SC,29646-4351,US,US/Eastern,KGRD,2020-12-28 20:56:00,50.0,50.0,77.0,29.65,10.0,W,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2898652,1,2020-04-24 15:54:05,2020-04-24 16:54:05,36.183370000000004,-86.74857,36.183370000000004,-86.74857,0.0,At W Eastland Ave - Accident.,612.0, Gallatin Ave,L,Nashville,Davidson,TN,37206-3225,US,US/Central,KBNA,2020-04-24 15:53:00,70.0,70.0,49.0,29.21,10.0,CALM,0.0,0.0,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898653,3,2019-12-09 15:53:35,2019-12-09 16:23:09,39.981426,-104.98800700000001,nan,nan,2.65000009537,Left lane blocked due to accident on I-25 Northbound from Exit 226 144th Ave to Exit 228 E-470 Exit 47.,nan,I-25 N,R,Broomfield,Adams,CO,80023,US,US/Mountain,KEIK,2019-12-09 15:58:00,35.0,31.0,61.0,24.86,10.0,E,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898654,2,2020-12-13 17:05:30,2020-12-13 18:50:30,39.777513,-86.030877,39.792953000000004,-86.035377,1.093,Incident on I-465 NB near E 10TH ST Right lane blocked. Expect delays.,nan,I-465 N,R,Indianapolis,Marion,IN,46219,US,US/Eastern,KMQJ,2020-12-13 17:15:00,37.0,37.0,100.0,29.19,10.0,CALM,0.0,nan,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898655,2,2019-04-21 11:57:15,2019-04-21 12:56:49,33.455811,-112.04769099999999,33.455811,-112.04769099999999,0.0,Accident on 16th St at Pierce St.,1598.0,E Pierce St,L,Phoenix,Maricopa,AZ,85006-3549,US,US/Mountain,KPHX,2019-04-21 11:51:00,79.0,79.0,23.0,28.67,10.0,NNW,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day
A-2898656,2,2020-09-11 16:24:00,2020-09-11 18:40:06,41.497195,-73.15724,41.512915,-73.12463000000001,2.0069999999999997,Incident on I-84 EB near EXIT 16 Road closed. Take alternate route.,nan,I-84 E,R,Southbury,New Haven,CT,06488,US,US/Eastern,KOXC,2020-09-11 16:51:00,72.0,72.0,61.0,29.41,10.0,NNW,9.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898657,2,2019-02-14 03:18:49,2019-02-14 03:48:33,38.22546,-122.57388300000001,38.22546,-122.57388300000001,0.0,Restrictions due to accident on CA-116 Lakeville Hwy Westbound before Browns Ln.,4120.0,Lakeville Hwy,R,Petaluma,Sonoma,CA,94954-9262,US,US/Pacific,KO69,2019-02-14 03:15:00,60.8,nan,100.0,29.35,2.5,SSE,16.1,nan,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2898658,2,2020-06-26 13:37:24,2020-06-26 14:07:24,37.54142,-77.41228000000001,37.54142,-77.41228000000001,0.0,At VA-33/N 25th St - Accident.,2302.0, Fairmount Ave,L,Richmond,Richmond City,VA,23223-5247,US,US/Eastern,KRIC,2020-06-26 13:54:00,87.0,87.0,33.0,29.86,10.0,WSW,6.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898659,2,2020-04-24 18:27:52,2020-04-24 18:57:52,34.98993,-85.28987,34.98993,-85.28987,0.0,At Tennessee/Georgia State Line - Accident.,4616.0, Rossville Blvd,L,Chattanooga,Hamilton,TN,37407-2920,US,US/Eastern,KCHA,2020-04-24 18:53:00,71.0,71.0,51.0,29.09,10.0,N,6.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898660,2,2020-11-18 08:37:00.000000000,2020-11-18 10:43:08.000000000,35.744673,-119.24293300000001,35.722083000000005,-119.237693,1.588,SB 99 AT SCHUSTER. 1 VEH W/PIN IN,nan,CA-99 S,R,Delano,Kern,CA,93215,US,US/Pacific,KPTV,2020-11-18 08:56:00,59.0,59.0,55.0,29.64,10.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898661,2,2020-09-16 20:53:01,2020-09-16 21:39:00,36.744308000000004,-119.819992,36.744308000000004,-119.819992,0.0,#2 #3 lane blocked due to accident on CA-99 Northbound after CA-180.,nan,CA-99 S,R,Fresno,Fresno,CA,93706,US,US/Pacific,KFAT,2020-09-16 20:53:00,80.0,80.0,40.0,29.58,2.0,ENE,3.0,0.0,Smoke,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2898662,2,2016-10-14 15:11:37,2016-10-14 21:11:37,28.669039,-81.43634300000001,28.669026000000002,-81.436312,0.002,At Post Lake Pl - Accident.,nan,Post Lake Pl,R,Altamonte Springs,Seminole,FL,32714,US,US/Eastern,KORL,2016-10-14 14:53:00,82.9,nan,58.0,30.12,10.0,NE,9.2,nan,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-2898663,2,2018-08-22 06:36:14,2018-08-22 07:20:45,33.065952,-96.690079,33.065952,-96.690079,0.0,Left lane blocked due to accident on US-75 Southbound at Legacy Dr.,nan,US-75 N,R,Plano,Collin,TX,75074,US,US/Central,KADS,2018-08-22 06:47:00,75.2,nan,73.0,30.16,10.0,East,8.1,nan,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-2898664,2,2019-06-26 16:31:10,2019-06-26 17:00:30,38.534490000000005,-90.31017,38.53111,-90.31352,0.29600000000000004,At Reavis Barracks Rd/Exit 199 - Accident. Left lane blocked.,nan,I-55 S,R,Saint Louis,St. Louis County,MO,63123,US,US/Central,KCPS,2019-06-26 16:28:00,72.0,72.0,87.0,29.64,5.0,N,8.0,0.15,T-Storm,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898665,2,2020-12-28 01:21:36,2020-12-28 03:06:36,45.711934,-121.516304,45.710332,-121.49671599999999,0.9520000000000001,A crash has occurred causing no to minimum delays. Use caution.,nan,I-84 E,R,Hood River,Hood River,OR,97031,US,US/Pacific,KCZK,2020-12-28 00:53:00,41.0,32.0,70.0,29.96,10.0,E,21.0,0.0,Fair / Windy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2898666,3,2016-11-24 20:16:05,2016-11-24 21:00:39,33.963959,-117.32493600000001,nan,nan,0.01,#1 lane blocked due to accident on I-215 Northbound before Martin Luther King Blvd.,nan,I-215 N,R,Riverside,Riverside,CA,92521,US,US/Pacific,KRAL,2016-11-24 19:53:00,62.1,nan,21.0,30.08,10.0,East,3.5,nan,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2898667,3,2019-01-24 12:25:11,2019-01-24 12:54:41,34.06066,-118.24775,34.0603,-118.24741000000002,0.032,Ramp to US-101 Southbound - Accident. Lane blocked.,499.0, N Figueroa St,R,Los Angeles,Los Angeles,CA,90012-2603,US,US/Pacific,KCQT,2019-01-24 12:47:00,73.9,nan,20.0,30.07,10.0,Calm,nan,nan,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898668,2,2017-10-09 09:42:52,2017-10-09 10:12:23,39.916187,-75.112289,39.916187,-75.112289,0.0,Accident on 8th St Northbound between Woodland Ave and Florence St.,798.0,Florence St,R,Camden,Camden,NJ,08104-2213,US,US/Eastern,KPHL,2017-10-09 09:54:00,73.9,nan,91.0,29.94,5.0,South,13.8,0.07,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2898669,2,2019-11-07 13:12:00,2019-11-07 14:23:57,38.660340999999995,-121.03223999999999,38.660340999999995,-121.03223999999999,0.0,At Serrano Pky - Accident.,3857.0, Bass Lake Rd,L,El Dorado Hills,El Dorado,CA,95762-6604,US,US/Pacific,KMHR,2019-11-07 12:45:00,75.0,75.0,29.0,29.98,10.0,CALM,0.0,nan,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
